id,latitude,longitude,name,display_name,zone,total_lines,rail
252,48.8717922164175,2.27486996119569,Porte Dauphine (Maréchal de Lattre de Tassigny),Porte Dauphine (Maréchal de Lattre de Tassigny),1,1,0
253,48.8643365354836,2.40882537603773,Porte de Bagnolet,Porte de Bagnolet,1,1,0
254,48.885739159692,2.29186062067553,Porte de Champerret,Porte de Champerret,1,1,0
255,48.8199024461617,2.36496559829082,Porte de Choisy,Porte de Choisy,1,1,0
256,48.894436060298,2.31356566546523,Porte de Clichy,Porte de Clichy,1,1,0
257,48.8979701704072,2.34398838343329,Porte de Clignancourt,Porte de Clignancourt,1,1,0
258,48.8979593432415,2.35925506957965,Porte de la Chapelle,Porte de la Chapelle,1,1,0
259,48.8975291568915,2.3856442301273,Porte de la Villette,Porte de la Villette,1,1,0
260,48.8533798778138,2.41045818741635,Porte de Montreuil,Porte de Montreuil,1,1,0
261,48.8885839809719,2.39242287571854,Porte de Pantin,Porte de Pantin,1,1,0
262,48.8375653344736,2.2555912744479,Porte de Saint-Cloud,Porte de Saint-Cloud,1,1,0
263,48.8975117327715,2.32902164721221,Porte de Saint-Ouen,Porte de Saint-Ouen,1,1,0
264,48.8277653265897,2.30431235076306,Porte de Vanves,Porte de Vanves,1,1,0
265,48.832253452749,2.28786413781919,Porte de Versailles,Porte de Versailles,1,1,0
266,48.8470165184191,2.41081688233476,Porte de Vincennes,Porte de Vincennes,1,1,0
267,48.8769382235089,2.40637656692978,Porte des Lilas,Porte des Lilas,1,2,0
268,48.878006176279,2.28246564000133,Porte Maillot,Porte Maillot,1,1,0
269,48.8801599321124,2.39858662186977,Pré-Saint-Gervais,Pré-Saint-Gervais,1,1,0
270,48.8664969870386,2.3340942152591,Pyramides,Pyramides,1,1,0
271,48.8738211723367,2.3848863721979,Pyrenees,Pyrenees,1,1,0
272,48.8376146757853,2.3738521156805,Quai de la Gare,Quai de la Gare,1,1,0
273,48.8459660324065,2.36691317973831,Quai de la Rapée,Quai de la Rapée,1,1,0
274,48.869660572192,2.33632828164171,Quatre Septembre,Quatre Septembre,1,1,0
275,48.8611933956416,2.35328695987071,Rambuteau,Rambuteau,1,1,0
276,48.855504403002,2.26995917825576,Ranelagh,Ranelagh,1,1,0
277,48.8391569814968,2.33047415116293,Raspail,Raspail,1,2,0
278,48.866046669631,2.35262095401519,Réaumur-Sébastopol,Réaumur-Sébastopol,1,2,0
279,48.8481982688248,2.32802174862811,Rennes,Rennes,1,1,0
280,48.8674108288354,2.36358782555805,République,République,1,3,0
281,48.8473528769588,2.38584254004024,Reuilly-Diderot,Reuilly-Diderot,1,1,0
282,48.8606859919958,2.3724109318802,Richard-Lenoir,Richard-Lenoir,1,1,0
283,48.8720961237898,2.33932555585643,Richelieu-Drouot,Richelieu-Drouot,1,1,0
284,48.8883932319013,2.37443310888499,Riquet,Riquet,1,1,0
285,48.8556808081969,2.42365908548302,Robespierre,Robespierre,1,1,0
287,48.882070833937,2.32039833930999,Rome,Rome,1,1,0
288,48.8642533844034,2.27791676202885,Rue de la Pompe (Avenue Georges Mandel),Rue de la Pompe (Avenue Georges Mandel),1,1,0
289,48.8522227131835,2.38911565092719,Rue des Boulets,Rue des Boulets,1,1,0
290,48.8558913378155,2.32570499389931,Rue du Bac,Rue du Bac,1,1,0
291,48.8640894057464,2.38089978855212,Rue Saint-Maur,Rue Saint-Maur,1,1,0
293,48.8616474242993,2.3731471407723,Saint-Ambroise,Saint-Ambroise,1,1,0
294,48.8743867602128,2.32072783196473,Saint-Augustin,Saint-Augustin,1,1,0
295,48.9299266652709,2.35618614918887,Saint-Denis-Porte de Paris,Saint-Denis-Porte de Paris,1,1,0
296,48.8716998109711,2.40429872420218,Saint-Fargeau,Saint-Fargeau,1,1,0
297,48.8509825598235,2.31442986460027,Saint-Francois-Xavier,Saint-Francois-Xavier,1,1,0
298,48.8785939552362,2.33782696891702,Saint-Georges,Saint-Georges,1,1,0
299,48.8534472377383,2.33304632604487,Saint-Germain des Prés,Saint-Germain des Prés,1,1,0
301,48.8329916917758,2.33668289664435,Saint-Jacques,Saint-Jacques,1,1,0
302,48.8756815064197,2.32559158481996,Saint-Lazare,Saint-Lazare,1,3,0
303,48.8462382566208,2.41899982810926,Saint-Mandé,Saint-Mandé,1,1,0
304,48.8394422789207,2.36164021412343,Saint-Marcel,Saint-Marcel,1,1,0
306,48.8535999078858,2.34399624109401,Saint-Michel,Saint-Michel,1,1,0
308,48.855134518235,2.36133433906766,Saint-Paul (Le Marais),Saint-Paul (Le Marais),1,1,0
309,48.8724706657937,2.31076910123035,Saint-Philippe du Roule,Saint-Philippe du Roule,1,1,0
310,48.8470118401686,2.32705511135513,Saint-Placide,Saint-Placide,1,1,0
312,48.8511463550549,2.33096285636646,Saint-Sulpice,Saint-Sulpice,1,1,0
315,48.8468647020692,2.30726884757893,Ségur,Ségur,1,1,0
316,48.8673503814313,2.34756723541508,Sentier,Sentier,1,1,0
319,48.8509392884308,2.32611465482228,Sèvres-Babylone,Sèvres-Babylone,1,2,0
320,48.8449961508569,2.31086483004415,Sèvres-Lecourbe,Sèvres-Lecourbe,1,1,0
321,48.8941234446659,2.34724544444303,Simplon,Simplon,1,1,0
322,48.8585333595082,2.32308924878721,Solférino,Solférino,1,1,0
323,48.8841892942088,2.36703044197457,Stalingrad,Stalingrad,1,3,0
324,48.8696323651875,2.35450206308924,Strasbourg-Saint-Denis,Strasbourg-Saint-Denis,1,2,0
326,48.8507935947421,2.3612369937143,Sully-Morland,Sully-Morland,1,1,0
327,48.8755224492457,2.39867651114495,Telegraphe,Telegraphe,1,1,0
328,48.8667641678145,2.36157132703273,Temple,Temple,1,1,0
329,48.8782280405077,2.29812143258218,Ternes,Ternes,1,1,0
330,48.8261594539114,2.35701946618913,Tolbiac,Tolbiac,1,1,0
332,48.8763290374387,2.3318045685106,Trinité-d'Estienne d'Orves,Trinité-d'Estienne d'Orves,1,1,0
333,48.8630891350352,2.28684037849459,Trocadéro,Trocadéro,1,2,0
334,48.8647801625001,2.32909495442943,Tuileries,Tuileries,1,1,0
336,48.84870084962,2.32123988193857,Vaneau,Vaneau,1,1,0
337,48.8563930691985,2.31475436481029,Varenne,Varenne,1,1,0
338,48.8394392812395,2.30107804247393,Vaugirard (Adolphe Chérioux),Vaugirard (Adolphe Chérioux),1,1,0
339,48.8420598575821,2.32886705043721,Vavin,Vavin,1,1,0
341,48.8698649124841,2.28522620725044,Victor Hugo,Victor Hugo,1,1,0
342,48.8037696632827,2.36390930638904,Villejuif-Léo Lagrange,Villejuif-Léo Lagrange,1,1,0
343,48.7866380111198,2.36711052738165,Villejuif-Louis Aragon,Villejuif-Louis Aragon,1,1,0
344,48.7959941323932,2.36823145191568,Villejuif-Paul Vaillant Couturier (Hôpital Paul Brousse),Villejuif-Paul Vaillant Couturier (Hôpital Paul Brousse),1,1,0
347,48.8813242939447,2.31659676150882,Villiers,Villiers,1,2,0
349,48.8414184426777,2.30799364938666,Volontaires,Volontaires,1,1,0
350,48.8576637257601,2.38003629679551,Voltaire (Léon Blum),Voltaire (Léon Blum),1,1,0
351,48.8837124760373,2.3055577575143,Wagram,Wagram,1,1,0
352,48.836814988806,2.27868334645027,Balard,Balard,1,1,0
353,48.8410253553217,2.28792386733087,Boucicaut,Boucicaut,1,1,0
354,48.8214898191456,2.41385676233111,Charenton-Ecoles,Charenton-Ecoles,1,1,0
355,48.8575865444645,2.36803669494838,Chemin Vert,Chemin Vert,1,1,0
356,48.844613671994,2.29380298016915,Commerce,Commerce,1,1,0
357,48.7966012975785,2.44953152437608,Créteil-L'Echat (Hôpital Henri Mondor),Créteil-L'Echat (Hôpital Henri Mondor),1,1,0
358,48.7797572578446,2.45931429107883,Créteil-Préfecture (Hôtel de Ville),Créteil-Préfecture (Hôtel de Ville),1,1,0
359,48.78972431608,2.45083610639066,Créteil-Université,Créteil-Université,1,1,0
360,48.8542609215541,2.30543956053901,Ecole Militaire,Ecole Militaire,1,1,0
361,48.8150763201298,2.42163176673066,Ecole Vétérinaire de Maisons-Alfort,Ecole Vétérinaire de Maisons-Alfort,1,1,0
362,48.8500676680027,2.38442877074163,Faidherbe-Chaligny,Faidherbe-Chaligny,1,1,0
363,48.8428245676741,2.29222496622052,Félix Faure,Félix Faure,1,1,0
364,48.8630781763554,2.36674588358473,Filles du Calvaire,Filles du Calvaire,1,1,0
365,48.8572278606496,2.30979622582736,La Tour-Maubourg,La Tour-Maubourg,1,1,0
366,48.8511941653637,2.37593173701289,Ledru-Rollin,Ledru-Rollin,1,1,0
367,48.825637111728,2.40741080542612,Liberté,Liberté,1,1,0
368,48.8386681290301,2.2822484883841,Lourmel,Lourmel,1,1,0
369,48.8025004418306,2.44618361855945,Maisons-Alfort-Les Juilliottes,Maisons-Alfort-Les Juilliottes,1,1,0
370,48.8082253473524,2.43627582105113,Maisons-Alfort-Stade,Maisons-Alfort-Stade,1,1,0
371,48.836991037653,2.40291960687004,Michel Bizot,Michel Bizot,1,1,0
372,48.844142731121,2.38962501284843,Montgallet,Montgallet,1,1,0
373,48.7681110763834,2.46565028903882,Pointe du Lac,Pointe du Lac,1,1,0
374,48.8326603464822,2.40046363844978,Porte de Charenton,Porte de Charenton,1,1,0
375,48.8354972528247,2.40618521221493,Porte Dorée,Porte Dorée,1,1,0
376,48.8609749971872,2.36726229502294,Saint-Sébastien-Froissart,Saint-Sébastien-Froissart,1,1,0
377,48.8333137155784,2.38729970438351,Cour Saint-Emilion,Cour Saint-Emilion,1,1,0
378,48.8298306952711,2.37612000934484,Bibliotheque-Francois Mitterrand,Bibliotheque-Francois Mitterrand,1,1,0
379,48.8269482819608,2.36703843338759,Olympiades,Olympiades,1,1,0
380,48.8184663371133,2.31964321861782,Mairie de Montrouge,Mairie de Montrouge,1,1,0
381,48.9066665878747,2.36523013585438,Front Populaire,Front Populaire,1,1,0
382,48.9461108724874,2.3620451929906,Saint-Denis-Universite,Saint-Denis-Universite,1,1,0
383,48.9199435050834,2.34390941978589,Carrefour-Pleyel,Carrefour-Pleyel,1,1,0
384,48.9229163315091,2.28596389657663,Les Agnettes,Les Agnettes,1,1,0
385,48.9302936228708,2.28376063319525,Asnieres-Gennevilliers Les Courtilles,Asnieres-Gennevilliers Les Courtilles,1,1,0
